nodeid,name
e7884aa3-52f5-11ea-a3f7-02e7594ce0a0,Scale Type
eaad4114-c5ab-11ea-9026-02e7594ce0a0,Editor Appellation
edecaffb-52f5-11ea-a3f7-02e7594ce0a0,Edition
34cfe98f-c2c0-11ea-9026-02e7594ce0a0,Resource Summary
34cfe9b0-c2c0-11ea-9026-02e7594ce0a0,Site Feature Form Type Belief
d0987de3-fad8-11e6-a434-6c4008b05c4c,SEARCH_ITEMS_PER_PAGE
d0987ec0-fad8-11e6-aad3-6c4008b05c4c,SEARCH_EXPORT_LIMIT
feb95991-fa14-11e6-974f-6c4008b05c4c,SAVED_SEARCHES
0e8fe457-4148-11e7-9c10-c4b301baab9f,Mapbox
34cfea41-c2c0-11ea-9026-02e7594ce0a0,Datum
cd8ff002-f375-11ea-afe6-0a5a9a4f6ef7,FUNCTION_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME
34cfea7d-c2c0-11ea-9026-02e7594ce0a0,Heritage Place Function Certainty 
34cfe9ec-c2c0-11ea-9026-02e7594ce0a0,Related Geoarchaeology/Palaeolandscape
34cfea71-c2c0-11ea-9026-02e7594ce0a0,Measurement
0e8fdef0-4148-11e7-8330-c4b301baab9f,Project Extent
0e8fe87a-4148-11e7-aa8b-c4b301baab9f,Map Zoom
0e8ff31c-4148-11e7-998a-c4b301baab9f,Map Settings
f2322125-52f7-11ea-a3f7-02e7594ce0a0,Shared Data Source Sharer
f2322128-52f7-11ea-a3f7-02e7594ce0a0,Shared Data Source Affiliation
f2322129-52f7-11ea-a3f7-02e7594ce0a0,Shared Data Source Appellation
f3124fb3-52f5-11ea-a3f7-02e7594ce0a0,Creator Appellation 
f3ef77bf-52f7-11ea-a3f7-02e7594ce0a0,Time-span Shared Data Source Creation Event
f3ef77c2-52f7-11ea-a3f7-02e7594ce0a0,Shared Data Source Date of Creation
f7cc2731-52f5-11ea-a3f7-02e7594ce0a0,Map Source Type
ff7ee06d-52f5-11ea-a3f7-02e7594ce0a0,Place of publication
341f9905-5253-11ea-a3f7-02e7594ce0a0,Catalogue ID
349cac15-52f8-11ea-a3f7-02e7594ce0a0,Shared Data Source Creator Appellation
35b99cb6-379a-11ea-9989-06f597a7d5ce,Information Resource
34cfea54-c2c0-11ea-9026-02e7594ce0a0,Threat Inference Making Assessor
39bf3871-5252-11ea-a3f7-02e7594ce0a0,Publisher 
39bf3874-5252-11ea-a3f7-02e7594ce0a0,Publisher Appellation
0e8ff675-4148-11e7-9c88-c4b301baab9f,Search Results Grid
0e8ff9d1-4148-11e7-90ed-c4b301baab9f,DEFAULT_MAP_ZOOM
0e8ffaf5-4148-11e7-b24d-c4b301baab9f,HEX_BIN_PRECISION
0800e7a5-5250-11ea-a3f7-02e7594ce0a0,Information Resource Type Assignment
